iter	Passed	Remaining
251	668	1984
252	669	1978
253	671	1971
254	672	1964
255	673	1958
256	675	1951
257	676	1944
258	680	1945
259	681	1938
260	682	1932
261	683	1926
262	685	1919
263	686	1913
264	687	1906
265	688	1900
266	689	1893
267	691	1887
268	694	1886
269	695	1881
270	697	1875
271	698	1869
272	699	1863
273	701	1858
274	703	1853
275	704	1847
276	705	1841
277	708	1840
278	710	1835
279	711	1829
280	712	1823
281	713	1817
282	715	1811
283	716	1805
284	717	1799
285	718	1794
286	720	1788
287	722	1786
288	724	1782
289	725	1776
290	727	1771
291	728	1765
292	729	1760
293	730	1754
294	732	1749
295	733	1743
296	734	1739
297	738	1740
298	740	1734
299	741	1729
300	742	1724
301	743	1719
302	745	1714
303	746	1709
304	747	1704
305	749	1699
306	751	1695
307	753	1693
308	755	1688
309	756	1683
310	757	1679
311	759	1674
312	760	1668
313	761	1663
314	763	1660
315	765	1656
316	767	1653
317	768	1648
318	770	1644
319	771	1639
320	772	1634
321	774	1629
322	775	1625
323	777	1621
324	780	1621
325	782	1616
326	783	1612
327	784	1607
328	786	1604
329	788	1600
330	789	1596
331	791	1592
332	795	1593
333	796	1588
334	798	1584
335	799	1579
336	800	1575
337	801	1570
338	803	1566
339	804	1562
340	806	1558
341	809	1558
342	811	1554
343	812	1550
344	814	1546
345	816	1542
346	817	1538
347	818	1533
348	819	1529
349	821	1525
350	825	1526
351	828	1525
352	830	1521
353	831	1517
354	832	1512
355	833	1508
356	834	1503
357	836	1499
358	839	1498
359	840	1494
360	841	1490
361	843	1486
362	844	1482
363	845	1477
364	847	1473
365	848	1469
366	849	1465
367	851	1461
368	854	1461
369	855	1457
370	857	1454
371	859	1451
372	861	1447
373	862	1444
374	864	1440
375	865	1436
376	868	1434
377	870	1431
378	871	1428
379	873	1424
380	874	1421
381	876	1418
382	878	1415
383	879	1411
384	880	1407
385	884	1406
386	885	1402
387	886	1398
388	888	1395
389	889	1391
390	890	1387
391	891	1383
392	893	1379
393	894	1376
394	895	1372
395	899	1371
396	900	1368
397	902	1364
398	903	1361
399	905	1357
400	906	1354
401	907	1350
402	908	1346
403	910	1342
404	914	1343
405	916	1340
406	918	1338
407	921	1337
408	923	1334
409	925	1331
410	930	1333
411	932	1331
412	935	1329
413	936	1325
414	939	1323
415	941	1321
416	946	1323
417	948	1321
418	950	1317
419	951	1314
420	953	1310
421	954	1307
422	955	1303
423	958	1302
424	961	1300
425	962	1297
426	964	1293
427	967	1292
428	969	1290
429	970	1287
430	975	1288
431	977	1285
432	978	1281
433	980	1278
434	982	1275
435	983	1272
436	986	1270
437	991	1271
438	993	1269
439	994	1266
440	996	1263
441	998	1260
442	1000	1257
443	1004	1257
444	1006	1254
445	1007	1251
446	1009	1249
447	1012	1247
448	1013	1244
449	1015	1240
450	1017	1238
451	1019	1235
452	1020	1232
